year,artist,title
1971,Whatcha See is Whatcha Get The Dramatics,46
1971,That’s the Way I’ve Always Heard It Should Be Carly Simon,47
1971,If You Really Love Me Stevie Wonder,48
1971,Spanish Harlem Aretha Franklin,49
1971,I Don’t Know How to Love Him Helen Reddy,50
1971,Yo-Yo The Osmonds,51
1971,Bridge over Troubled Water Aretha Franklin,52
1971,Doesn’t Somebody Want to Be Wanted The Partridge Family,53
1971,Draggin’ the Line Tommy James,54
1971,Proud Mary Ike & Tina Turner,55
1971,Beginnings / Colour My World Chicago,56
1971,Stay Awhile The Bells,57
1971,Sweet City Woman The Stampeders,58
1971,Me and You and a Dog Named Boo Lobo,59
1971,"Another Day / Oh Woman, Oh Why Paul McCartney",60
1971,If Bread,61
1971,Mercy Mercy Me (The Ecology) Marvin Gaye,62
1971,One Toke Over the Line Brewer & Shipley,63
1971,She’s Not Just Another Woman 8th Day,64
1971,Bring the Boys Home Freda Payne,65
1971,I Just Want to Celebrate Rare Earth,66
1971,Never Ending Song of Love Delaney & Bonnie & Friends,67
1971,Easy Loving Freddie Hart,68
1971,Liar Three Dog Night,69
1971,Stick-Up Honey Cone,70
1971,Chirpy Chirpy Cheep Cheep Mac and Katie Kissoon,71
1971,(Where Do I Begin?) Love Story Andy Williams,72
1971,Wild World Cat Stevens,73
1971,"When You’re Hot, You’re Hot Jerry Reed",74
1971,Funky Nassau The Beginning of the End,75
1971,If Not for You Olivia Newton-John,76
1971,Groove Me King Floyd,77
1971,Watching Scotty Grow Bobby Goldsboro,78
1971,Woodstock Matthews Southern Comfort,79
1971,Amazing Grace Judy Collins,80
1971,I Hear You Knocking Dave Edmunds,81
1971,Lonely Days Bee Gees,82
1971,Here Comes That Rainy Day Feeling Again The Fortunes,83
1971,Won’t Get Fooled Again The Who,84
1971,Trapped By a Thing Called Love Denise LaSalle,85
1971,Mama’s Pearl The Jackson 5,86
1971,Timothy The Buoys,87
1971,I Woke Up In Love This Morning The Partridge Family,88
1971,Theme from Shaft Isaac Hayes,89
1971,If I Were Your Woman Gladys Knight & the Pips,90
1971,I Am…I Said Neil Diamond,91
1971,The Wedding Song (There Is Love) Paul Stookey,92
1971,Don’t Knock My Love Wilson Pickett,93
1971,Love Her Madly The Doors,94
1971,Here Comes the Sun Richie Havens,95
1971,Sweet Mary Wadsworth Mansion,96
1971,Right on the Tip of My Tongue Brenda & the Tabulations,97
1971,One Less Bell to Answer The 5th Dimension,98
1971,Riders on the Storm The Doors,99
1971,Somos Novios (It’s Impossible) Perry Como,100
1971,Three Dog Night,Joy to the World
1971,Rod Stewart,Maggie May/Reason to Believe
1971,Carole King,It’s Too Late/I Feel the Earth Move
1971,The Osmonds,One Bad Apple
1971,Bee Gees,How Can You Mend a Broken Heart
1971,Paul Revere & the Raiders,Indian Reservation (The Lament of the Cherokee Reservation Indian)
1971,Donny Osmond,Go Away Little Girl
1971,John Denver,"Take Me Home, Country Roads"
1971,The Temptations,Just My Imagination (Running Away with Me)
1972,Daddy Don’t You Walk So Fast Wayne Newton,10
1972,Let’s Stay Together Al Green,11
1972,Brandy (You’re a Fine Girl) Looking Glass,12
1972,Oh Girl The Chi-Lites,13
1972,Nice to Be with You Gallery,14
1972,My Ding-a-Ling Chuck Berry,15
1972,(If Loving You Is Wrong) I Don’t Want to Be Right Luther Ingram,16
1972,Heart of Gold Neil Young,17
1972,"Betcha by Golly, Wow The Stylistics",18
1972,I’ll Take You There The Staple Singers,19
1972,Ben Michael Jackson,20
1972,The Lion Sleeps Tonight Robert John,21
1972,Outa-Space Billy Preston,22
1972,Slippin’ Into Darkness War,23
1972,Long Cool Woman in a Black Dress The Hollies,24
1972,How Do You Do Mouth & MacNeal,25
1972,Song Sung Blue Neil Diamond,26
1972,A Horse with No Name America,27
1972,Popcorn Hot Butter,28
1972,Everybody Plays the Fool The Main Ingredient,29
1972,Precious and Few Climax,30
1972,(Last Night) I Didn’t Get to Sleep at All The 5th Dimension,31
1972,Nights in White Satin The Moody Blues,32
1972,Go All the Way Raspberries,33
1972,Too Late to Turn Back Now Cornelius Brothers & Sister Rose,34
1972,Back Stabbers The O’Jays,35
1972,Down by the Lazy River The Osmonds,36
1972,Sunshine Jonathan Edwards,37
1972,Starting All Over Again Mel and Tim,38
1972,Day After Day Badfinger,39
1972,Rocket Man Elton John,40
1972,Rockin’ Robin Michael Jackson,41
1972,Beautiful Sunday Daniel Boone,42
1972,Scorpio Dennis Coffey,43
1972,Morning Has Broken Cat Stevens,44
1972,City of New Orleans Arlo Guthrie,45
1972,Garden Party Ricky Nelson,46
1972,I Can See Clearly Now Johnny Nash,47
1972,Burning Love Elvis Presley,48
1972,Clean Up Woman Betty Wright,49
1972,Hold Your Head Up Argent,50
1972,Jungle Fever The Chakachas,51
1972,Everything I Own Bread,52
1972,In the Rain The Dramatics,53
1972,Look What You Done for Me Al Green,54
1972,The Happiest Girl in the Whole U.S.A. Donna Fargo,55
1972,Get It On T. Rex,56
1972,Mother and Child Reunion Paul Simon,57
1972,Where Is the Love Roberta Flack & Donny Hathaway,58
1972,I’m Still in Love with You Al Green,59
1972,Layla Derek and the Dominos,60
1972,Day Dreaming Aretha Franklin,61
1972,The Way of Love Cher,62
1972,Black and White Three Dog Night,63
1972,Sylvia’s Mother Dr. Hook & The Medicine Show,64
1972,Hurting Each Other The Carpenters,65
1972,Coconut Harry Nilsson,66
1972,Puppy Love Donny Osmond,67
1972,You Don’t Mess Around with Jim Jim Croce,68
1972,Hot Rod Lincoln Commander Cody and His Lost Planet Airmen,69
1972,A Cowboy’s Work Is Never Done Sonny & Cher,70
1972,Joy Apollo 100,71
1972,Anticipation Carly Simon,72
1972,Never Been to Spain Three Dog Night,73
1972,Kiss an Angel Good Mornin’ Charley Pride,74
